Channel,LocID Root,Baseline,Band,Inst. Code,Orien. Code,sps,LocID,Chan Code,locID.CHA
159,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.02,07,UMV,07.UMV
160,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,U,M,V,0.01,08,UMV,08.UMV
161,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,0.005,05,RMV,05.RMV
162,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,0.001,06,RMV,06.RMV
163,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,1/1800,07,RMV,07.RMV
164,VBB 2 Position Low Gain Science mode,05,Transmitted raw data,R,M,V,1/3600,08,RMV,08.RMV
165,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,L,M,V,1,10,LMV,10.LMV
166,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.5,10,VMV,10.VMV
167,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.25,11,VMV,11.VMV
168,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.2,12,VMV,12.VMV
169,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,V,M,V,0.1,13,VMV,13.VMV
170,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.05,10,UMV,10.UMV
171,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.025,11,UMV,11.UMV
172,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.02,12,UMV,12.UMV
173,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,U,M,V,0.01,13,UMV,13.UMV
174,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,0.005,10,RMV,10.RMV
175,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,0.001,11,RMV,11.RMV
176,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,1/1800,12,RMV,12.RMV
177,VBB 2 Position High Gain Engin. mode,10,Transmitted raw data,R,M,V,1/3600,13,RMV,13.RMV
178,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,L,M,V,1,15,LMV,15.LMV
179,VBB 2 Position Low Gain Engin. mode,15,Transmitted raw data,V,M,V,0.5,15,VMV,15.VMV
